Title,Description,Difficulty,Duration,Track_ID
A dive into Data Quality Services,Course description goes here,Intermediate,1:00:00,11
A Dynamic World Demands Dynamic SQL,Course description goes here,Intermediate,1:00:00,11
A Dynamic World Demands Dynamic SQL,Course description goes here,Intermediate,1:00:00,11
Absolute Introductory Session on SQL Server 2014 In-Memory Optimized Databases (Hekaton),Course description goes here,Beginner,1:00:00,11
AlwaysOn: Improve reliability and reporting performance with one cool tech,Course description goes here,Beginner,1:00:00,11
An introduction to Data Mining,Course description goes here,Intermediate,1:00:00,8
An Introduction to Database Design,Course description goes here,Beginner,1:00:00,11
Autogenerating a process data warehouse,Course description goes here,Advanced,1:00:00,11
Automate your daily checklist with PBM and CMS,Course description goes here,Intermediate,1:00:00,7
Automated Installing and Configuration of SQL2014/SQL2012 AlwaysOn Across Multiple Datacenters,Course description goes here,Intermediate,1:00:00,11
Automating Execution Plan Analysis,Course description goes here,Advanced,1:00:00,11
Automating SQL Server using PowerShell,Course description goes here,Intermediate,1:00:00,11
Balanced Scorecards using SSRS,Course description goes here,Intermediate,1:00:00,9
Baselines and Performance Monitoring with PAL,Course description goes here,Beginner,1:00:00,7
Basic Database Design,Course description goes here,Beginner,1:00:00,11
Basic Database Programming,Course description goes here,Beginner,1:00:00,11
Become a BI Independent Consultant!,Course description goes here,Beginner,1:00:00,9
Becoming a Top DBA--Learning Automation in SQL Server,Course description goes here,Beginner,1:00:00,7
Best Practices Document,Course description goes here,Intermediate,1:00:00,11
Best Practices for Efficient SSRS Report Creation,Course description goes here,Beginner,1:00:00,11
Biggest Loser: Database Edition,Course description goes here,Intermediate,1:00:00,11
Building a BI Solution in the Cloud,Course description goes here,Intermediate,1:00:00,9
Building an Effective Data Warehouse Architecture,Course description goes here,Beginner,1:00:00,11
Building an Effective Data Warehouse Architecture with the cloud and MPP,Course description goes here,Beginner,1:00:00,11
Coffee Break,Course description goes here,Non-Technical,1:00:00,11
Creating A Performance Health Repository - using MDW,Course description goes here,Beginner,1:00:00,7
Creating efficient and effective SSRS BI Solutions,Course description goes here,Intermediate,1:00:00,11
Creating efficient and effective SSRS BI Solutions,Course description goes here,Intermediate,1:00:00,11
Data Partitioning,Course description goes here,Intermediate,1:00:00,11
Data Tier Application Testing with NUnit and Distributed Replay,Course description goes here,Intermediate,1:00:00,11
Database design for mere developers,Course description goes here,Intermediate,1:00:00,8
Database design for mere developers,Course description goes here,Intermediate,1:00:00,8
Database Design: Solving Problems Before they Start!,Course description goes here,Beginner,1:00:00,10
Database Modeling and Design,Course description goes here,Intermediate,1:00:00,11
Database Virtualization and Drinking out of the Fire Hose,Course description goes here,Intermediate,1:00:00,7
DAX and the tabular model,Course description goes here,Intermediate,1:00:00,11
DBA FOR DUMMIES,Course description goes here,Beginner,1:00:00,11
Dealing With Difficult People,Course description goes here,Beginner,1:00:00,11
Development Lifecycle with SQL Server Data Tools and DACFx,Course description goes here,Intermediate,1:00:00,8
Did You Vote Today? A DBAs Guide to Cluster Quorum,Course description goes here,Advanced,1:00:00,11
Dimensional Modeling Design Patterns: Beyond Basics,Course description goes here,Intermediate,1:00:00,11
Dimensional Modeling Design Patterns: Beyond Basics,Course description goes here,Intermediate,1:00:00,11
Diving Into Query Execution Plans,Course description goes here,Intermediate,1:00:00,10
Dynamic SQL: Writing Efficient Queries on the Fly,Course description goes here,Beginner,1:00:00,11
Easy Architecture Design for HA and DR,Course description goes here,Intermediate,1:00:00,11
Enhancing your career: Building your personal brand,Course description goes here,Beginner,1:00:00,11
Establishing a SLA,Course description goes here,Intermediate,1:00:00,11
ETL not ELT! Common mistakes and misconceptions about SSIS,Course description goes here,Advanced,1:00:00,11
Event Kickoff and Networking,Course description goes here,Non-Technical,1:00:00,11
Execution Plans: What Can You Do With Them?,Course description goes here,Intermediate,1:00:00,10
Faster,Course description goes here,Intermediate,1:00:00,10
Full Text Indexing Basics,Course description goes here,Beginner,1:00:00,8
Get your Mining Model Predictions out to all,Course description goes here,Intermediate,1:00:00,11
Getting a job with Microsoft,Course description goes here,Non-Technical,1:00:00,11
Graph Databases for SQL Server Professionals,Course description goes here,Intermediate,1:00:00,11
Hacking Exposé - Using SSL to Protect SQL Connections,Course description goes here,Intermediate,1:00:00,7
Hacking the SSIS 2012 Catalog,Course description goes here,Beginner,1:00:00,11
Hidden in plain sight: master your tools,Course description goes here,Intermediate,1:00:00,11
Highly Available SQL Server in Windows Azure IaaS,Course description goes here,Intermediate,1:00:00,7
How to Make a LOT More Money as a Consultant,Course description goes here,Beginner,1:00:00,11
How to Think Like the Engine,Course description goes here,Intermediate,1:00:00,11
Hybrid Cloud Scenarios with SQL Server 2014,Course description goes here,Intermediate,1:00:00,11
Hybrid Solutions: The Future of SQL Server Disaster Recovery,Course description goes here,Intermediate,1:00:00,11
Implementing Data Warehouse Patterns with the Microsoft BI Tools,Course description goes here,Intermediate,1:00:00,11
Inroduction to Triggers,Course description goes here,Beginner,1:00:00,11
Integrating Reporting Services with SharePoint,Course description goes here,Intermediate,1:00:00,11
Integration Services (SSIS) for the DBA,Course description goes here,Intermediate,1:00:00,11
Introducing Power BI,Course description goes here,Beginner,1:00:00,11
Introduction to Database Recovery,Course description goes here,Beginner,1:00:00,11
Introduction to High Availability with SQL Server,Course description goes here,Beginner,1:00:00,11
Introduction to Powershell for DBA's,Course description goes here,Beginner,1:00:00,7
Introduction to SQL Server - Part 1,Course description goes here,Beginner,1:00:00,11
Introduction to SQL Server - Part 2,Course description goes here,Beginner,1:00:00,11
Is That A Failover Cluster On Your Laptop/Desktop?,Course description goes here,Intermediate,1:00:00,7
Leaving the Windows Open,Course description goes here,Intermediate,1:00:00,8
Lunch Break,Course description goes here,Non-Technical,1:00:00,11
Lunchtime Keynote,Course description goes here,Non-Technical,1:00:00,11
Master Data Services Best Practices,Course description goes here,Intermediate,1:00:00,11
Master Data Services Disaster Recovery,Course description goes here,Intermediate,1:00:00,11
Mind your language!! Cursors are a dirty word,Course description goes here,Intermediate,1:00:00,11
Modern Data Warehousing,Course description goes here,Beginner,1:00:00,11
Monitoring Server health via Reporting Services dashboards,Course description goes here,Intermediate,1:00:00,11
Monitoring SQL Server using Extended Events,Course description goes here,Beginner,1:00:00,11
Multidimensional vs Tabular - May the Best Model Win,Course description goes here,Intermediate,1:00:00,11
Murder They Wrote,Course description goes here,Intermediate,1:00:00,11
"Never Have to Say ""Mayday!!!"" Again",Course description goes here,Beginner,1:00:00,7
Now you see it! Now you don’t! Conjuring many reports utilizing only one SSRS report.,Course description goes here,Intermediate,1:00:00,11
